Year,Population,zscore,Smoothed
1800-01-01,60000000.0,2.565658961368214,
1801-01-01,59333333.333333336,2.530203009979672,
1802-01-01,58666666.66666666,2.494747058591129,58666666.666666664
1803-01-01,58000000.0,2.459291107202587,58000000.0
1804-01-01,57333333.333333336,2.423835155814045,57333333.33333333
1805-01-01,56666666.66666666,2.3883792044255023,56666666.666666664
1806-01-01,56000000.0,2.3529232530369604,56000000.0
1807-01-01,55333333.333333336,2.3174673016484184,55333333.333333336
1808-01-01,54666666.66666666,2.282011350259875,54666666.666666664
1809-01-01,54000000.0,2.2465553988713336,54000000.0
1810-01-01,53333333.333333336,2.211099447482791,53333333.33333333
1811-01-01,52666666.66666666,2.1756434960942483,52666666.66666667
1812-01-01,52000000.0,2.140187544705707,52000000.0
1813-01-01,51333333.333333336,2.1047315933171644,51333333.33333333
1814-01-01,50666666.66666667,2.0692756419286225,50666666.66666667
1815-01-01,50000000.0,2.03381969054008,50000000.0
1816-01-01,49333333.333333336,1.9983637391515376,49333333.333333336
1817-01-01,48666666.66666667,1.9629077877629955,48666666.66666667
1818-01-01,48000000.0,1.927451836374453,48000000.00000001
1819-01-01,47333333.333333336,1.8919958849859109,47333333.333333336
1820-01-01,46666666.66666667,1.8565399335973687,46666666.666666664
1821-01-01,46000000.0,1.821083982208826,46000000.0
1822-01-01,45333333.333333336,1.785628030820284,45333333.333333336
1823-01-01,44666666.66666667,1.750172079431742,44666666.66666667
1824-01-01,44000000.0,1.7147161280431993,44000000.0
1825-01-01,43333333.333333336,1.679260176654657,43333333.333333336
1826-01-01,42666666.66666667,1.643804225266115,42666666.66666667
1827-01-01,42000000.0,1.6083482738775725,42000000.0
1828-01-01,41333333.333333336,1.5728923224890303,41333333.333333336
1829-01-01,40666666.66666667,1.5374363711004881,40713000.0
1830-01-01,40000000.0,1.5019804197119455,40139000.0
1831-01-01,39565000.0,1.4788454114309217,39611333.333333336
1832-01-01,39130000.0,1.455710403149898,39130000.0
1833-01-01,38695000.0,1.432575394868874,38695000.0
1834-01-01,38260000.0,1.4094403865878502,38260000.0
1835-01-01,37825000.0,1.3863053783068264,37825000.0
1836-01-01,37390000.0,1.3631703700258024,37390000.0
1837-01-01,36955000.0,1.3400353617447787,36955000.0
1838-01-01,36520000.0,1.316900353463755,36520000.0
1839-01-01,36085000.0,1.2937653451827311,35971000.0
1840-01-01,35650000.0,1.2706303369017071,35308000.0
1841-01-01,34645000.0,1.2171804901834797,34531000.0
1842-01-01,33640000.0,1.1637306434652521,33640000.0
1843-01-01,32635000.0,1.1102807967470247,32635000.0
1844-01-01,31630000.0,1.0568309500287971,31630000.0
1845-01-01,30625000.0,1.0033811033105697,30625000.0
1846-01-01,29620000.0,0.9499312565923422,29620000.0
1847-01-01,28615000.0,0.8964814098741147,28615000.0
1848-01-01,27610000.0,0.8430315631558871,27610000.0
1849-01-01,26605000.0,0.7895817164376596,26605000.0
1850-01-01,25600000.0,0.7361318697194321,25600000.0
1851-01-01,24595000.0,0.6826820230012046,24595000.0
1852-01-01,23590000.0,0.6292321762829771,23590000.0
1853-01-01,22585000.0,0.5757823295647496,22585000.0
1854-01-01,21580000.0,0.5223324828465221,21580000.0
1855-01-01,20575000.0,0.46888263612829467,20575000.0
1856-01-01,19570000.0,0.41543278941006717,19570000.0
1857-01-01,18565000.0,0.36198294269183967,18565000.0
1858-01-01,17560000.0,0.30853309597361217,17560000.0
1859-01-01,16555000.0,0.2550832492553847,16555000.0
1860-01-01,15550000.0,0.2016334025371572,15550000.0
1861-01-01,14545000.0,0.14818355581892972,14545000.0
1862-01-01,13540000.0,0.09473370910070222,13540000.0
1863-01-01,12535000.0,0.04128386238247473,12535000.0
1864-01-01,11530000.0,-0.012165984335752765,11530000.0
1865-01-01,10525000.0,-0.06561583105398026,10525000.0
1866-01-01,9520000.0,-0.11906567777220775,9520000.0
1867-01-01,8515000.0,-0.17251552449043525,8515000.0
1868-01-01,7510000.0,-0.22596537120866275,7510000.0
1869-01-01,6505000.0,-0.2794152179268902,6603900.0
1870-01-01,5500000.0,-0.3328650646451177,5796700.0
1871-01-01,4989500.0,-0.36001545942089397,5088400.0
